ambassador_id,month,signups,events,active_days,response_rate,satisfaction_score,tasks_completed,tasks_assigned
AMB001,2024-01,85,3,25,95,4.6,12,13
AMB001,2024-02,98,3,27,97,4.7,14,14
AMB001,2024-03,62,2,18,92,4.5,9,10
AMB002,2024-01,72,2,24,93,4.5,11,12
AMB002,2024-02,78,2,26,94,4.6,12,13
AMB002,2024-03,39,2,16,88,4.4,8,9
AMB003,2024-02,68,2,22,90,4.3,10,11
AMB003,2024-03,88,3,24,92,4.5,12,13
AMB004,2024-01,75,3,25,94,4.6,12,13
AMB004,2024-02,82,2,26,95,4.7,13,14
AMB004,2024-03,41,2,17,91,4.5,9,10
AMB005,2024-02,71,2,23,91,4.4,11,12
AMB005,2024-03,96,4,26,93,4.6,13,14
AMB006,2024-01,88,4,27,96,4.8,14,15
AMB006,2024-02,92,3,28,97,4.8,15,15
AMB006,2024-03,43,2,18,94,4.6,10,11
AMB007,2024-02,58,2,20,87,4.2,9,11
AMB007,2024-03,76,2,23,89,4.3,11,12
AMB008,2024-01,68,2,24,92,4.5,11,12
AMB008,2024-02,72,2,25,93,4.6,12,13
AMB008,2024-03,38,2,16,90,4.4,8,9
AMB009,2024-02,62,2,21,88,4.3,10,11
AMB009,2024-03,80,3,24,90,4.4,12,13
AMB010,2024-02,42,1,18,82,4.0,7,9
AMB010,2024-03,56,2,20,85,4.2,9,10
AMB011,2024-01,28,1,12,65,3.5,4,7
AMB011,2024-02,17,0,8,45,3.2,2,6
AMB011,2024-03,0,0,0,0,0.0,0,5
AMB012,2024-02,48,2,19,86,4.2,8,10
AMB012,2024-03,64,2,22,88,4.4,10,11
AMB013,2024-01,72,3,25,93,4.6,12,13
AMB013,2024-02,78,2,26,94,4.7,13,14
AMB013,2024-03,37,2,16,91,4.5,9,10
AMB014,2024-02,52,2,20,87,4.3,9,11
AMB014,2024-03,71,2,23,89,4.4,11,12
AMB015,2024-02,62,2,22,90,4.4,10,11
AMB015,2024-03,83,3,25,92,4.6,12,13
AMB016,2024-01,65,2,23,91,4.4,11,12
AMB016,2024-02,68,2,24,92,4.5,12,13
AMB016,2024-03,32,2,15,89,4.3,8,9
AMB017,2024-02,68,2,22,90,4.3,10,11
AMB017,2024-03,88,3,25,92,4.5,12,13
AMB018,2024-02,38,1,16,78,3.8,6,9
AMB018,2024-03,51,2,19,81,4.0,8,10
AMB019,2024-01,75,3,25,94,4.6,12,13
AMB019,2024-02,82,2,27,95,4.7,13,14
AMB019,2024-03,41,2,17,92,4.5,9,10
AMB020,2024-02,58,2,21,88,4.2,9,11
AMB020,2024-03,76,2,23,90,4.4,11,12
AMB021,2024-02,32,1,14,72,3.7,5,8
AMB021,2024-03,35,1,15,75,3.9,6,9
AMB022,2024-01,22,1,10,58,3.3,3,7
AMB022,2024-02,12,0,6,35,3.0,1,6
AMB022,2024-03,0,0,0,0,0.0,0,5
AMB023,2024-02,62,2,22,89,4.4,10,11
AMB023,2024-03,83,3,25,91,4.5,12,13
AMB024,2024-02,48,2,19,86,4.2,8,10
AMB024,2024-03,64,2,22,88,4.3,10,11
AMB025,2024-02,68,3,23,90,4.4,11,12
AMB025,2024-03,88,3,25,92,4.6,12,13
AMB026,2024-01,68,2,24,92,4.5,11,12
AMB026,2024-02,72,2,25,93,4.6,12,13
AMB026,2024-03,38,2,16,90,4.4,8,9
AMB027,2024-02,42,1,18,82,4.0,7,9
AMB027,2024-03,56,2,20,85,4.2,9,10
AMB028,2024-02,58,2,21,88,4.3,9,11
AMB028,2024-03,76,3,24,90,4.5,11,12
AMB029,2024-02,18,0,8,42,3.1,2,6
AMB029,2024-03,5,0,3,15,2.5,0,5
AMB030,2024-01,72,3,25,93,4.6,12,13
AMB030,2024-02,78,2,26,94,4.7,13,14
AMB030,2024-03,39,2,16,91,4.5,9,10
AMB031,2024-02,52,2,20,87,4.2,9,11
AMB031,2024-03,71,2,23,89,4.4,11,12
AMB032,2024-02,72,3,24,91,4.5,11,12
AMB032,2024-03,95,3,26,93,4.6,13,14
AMB033,2024-02,62,2,22,89,4.3,10,11
AMB033,2024-03,83,3,25,91,4.5,12,13
AMB034,2024-02,35,1,15,75,3.8,6,9
AMB034,2024-03,43,1,17,78,4.0,7,10
AMB035,2024-01,75,3,26,94,4.7,13,14
AMB035,2024-02,82,3,27,95,4.8,14,15
AMB035,2024-03,41,2,17,92,4.6,9,10
AMB036,2024-02,78,3,25,93,4.6,12,13
AMB036,2024-03,98,3,27,95,4.7,14,14
AMB037,2024-02,38,1,16,78,3.8,6,9
AMB037,2024-03,51,2,19,81,4.0,8,10
AMB038,2024-02,68,2,23,90,4.4,10,11
AMB038,2024-03,88,3,25,92,4.5,12,13
AMB039,2024-02,48,2,19,85,4.1,8,10
AMB039,2024-03,64,2,22,87,4.3,10,11
AMB040,2024-01,52,2,21,88,4.3,9,11
AMB040,2024-02,55,2,22,89,4.4,10,12
AMB040,2024-03,27,1,14,85,4.2,7,9
AMB041,2024-02,28,1,13,70,3.6,5,8
AMB041,2024-03,28,1,14,73,3.8,5,9
AMB042,2024-02,72,3,24,91,4.5,11,12
AMB042,2024-03,95,3,26,93,4.6,13,14
AMB043,2024-02,32,1,13,68,3.5,4,8
AMB043,2024-03,13,0,6,28,3.0,1,6
AMB044,2024-01,72,3,25,93,4.6,12,13
AMB044,2024-02,78,2,26,94,4.7,13,14
AMB044,2024-03,39,2,16,91,4.5,9,10
AMB045,2024-02,52,2,20,87,4.2,9,11
AMB045,2024-03,71,2,23,89,4.4,11,12
AMB046,2024-02,62,2,22,89,4.4,10,11
AMB046,2024-03,83,3,25,91,4.5,12,13
AMB047,2024-02,42,1,18,82,3.9,7,9
AMB047,2024-03,56,2,20,85,4.1,9,10
AMB048,2024-02,68,3,23,90,4.4,11,12
AMB048,2024-03,88,3,25,92,4.6,12,13
AMB049,2024-01,68,3,24,92,4.6,12,13
AMB049,2024-02,72,2,25,93,4.7,13,14
AMB049,2024-03,38,2,16,90,4.5,9,10
AMB050,2024-02,58,2,21,88,4.3,9,11
AMB050,2024-03,76,3,24,90,4.5,11,12
